"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"930","3.8034076","0.03836462","0.26292212","0.3956044","14","8","false","PTGS2","14.42857143","14","0","0","0.7663827","false","0","PTGS2","302406","0.15514593"
"934","3.56487549","0.0096085","0.28051471","0.43478261","24","8","false","CXCL8","19.625","24","0","0","0.78626038","false","0","CXCL8","112470","0.13441781"
"938","1.0","0.01481481","1.0","0.91111111","10","1","false","NPS","9.2","10","0","0","1.0","false","0","NPS","8","0.92"
"939","1.1","0.0","0.90909091","1.0","9","2","false","AGRP","9.66666667","9","0","0","0.95","false","0","AGRP","0","0.96666667"
"941","1.0","0.01481481","1.0","0.91111111","10","1","false","MC2R","9.2","10","0","0","1.0","false","0","MC2R","8","0.92"
"943","1.1","0.0","0.90909091","1.0","9","2","false","MC5R","9.66666667","9","0","0","0.95","false","0","MC5R","0","0.96666667"
"945","1.1","0.0","0.90909091","1.0","9","2","false","MC4R","9.66666667","9","0","0","0.95","false","0","MC4R","0","0.96666667"
"947","1.1","0.0","0.90909091","1.0","9","2","false","MC3R","9.66666667","9","0","0","0.95","false","0","MC3R","0","0.96666667"
"949","1.0","0.01481481","1.0","0.91111111","10","1","false","CRH","9.2","10","0","0","1.0","false","0","CRH","8","0.92"
"951","1.4","0.0","0.71428571","1.0","6","2","false","OPRM1","10.0","6","0","0","0.8","false","0","OPRM1","0","1.0"
"955","1.0","0.01481481","1.0","0.91111111","10","1","false","NPY","9.2","10","0","0","1.0","false","0","NPY","8","0.92"
"957","1.0","0.01481481","1.0","0.91111111","10","1","false","POMC","9.2","10","0","0","1.0","false","0","POMC","8","0.92"
"963","1.0","0.01481481","1.0","0.91111111","10","1","false","MC1R","9.2","10","0","0","1.0","false","0","MC1R","8","0.92"
"1000","4.78768021","0.00173602","0.20886942","0.71428571","8","9","false","PLA2G16","8.5","8","0","0","0.68435998","false","0","PLA2G16","29348","0.47222222"
"1001","4.79030144","0.0","0.20875513","1.0","6","9","false","ALOX12","10.33333333","6","0","0","0.68414155","false","0","ALOX12","0","0.57407407"
"1003","5.77981651","0.0","0.17301587","1.0","4","10","false","PLA2G7","7.75","4","0","0","0.60168196","false","0","PLA2G7","0","0.775"
"1005","5.77981651","0.0","0.17301587","1.0","4","10","false","PLA2G15","7.75","4","0","0","0.60168196","false","0","PLA2G15","0","0.775"
"1008","4.78636959","0.0030432","0.20892662","0.58333333","9","9","false","PLA2G6","7.66666667","9","0","0","0.6844692","false","0","PLA2G6","44028","0.42592593"
"1009","5.78243775","0.0","0.17293744","1.0","2","10","false","PLA2R1","9.5","2","0","0","0.60146352","false","0","PLA2R1","0","0.95"
"1015","4.78505898","0.00566443","0.20898384","0.46666667","10","9","false","PLA2G2A","6.9","10","0","0","0.68457842","false","0","PLA2G2A","58712","0.4"
"1017","4.31847969","0.00544355","0.23156297","0.46969697","12","9","false","ALOX5","11.41666667","12","0","0","0.72346003","false","0","ALOX5","67526","0.24818841"
"1025","5.78374836","0.0","0.17289826","0.0","1","10","false","GPC1","10.0","1","0","0","0.6013543","false","0","GPC1","0","0.0"
"1027","4.32241153","0.00291346","0.23135233","0.61111111","9","9","false","ALOX15","11.66666667","9","0","0","0.72313237","false","0","ALOX15","36542","0.25362319"
"1030","4.44560944","0.02706465","0.22494104","0.22727273","12","9","false","CYP2E1","7.75","12","0","0","0.71286588","false","0","CYP2E1","210464","0.20175439"
